Month-Year,Stock Name,Week,Percentage Change
Mar-2023,AARTISURF.NS,13,-1.667914038276479
Mar-2023,AARTISURF.NS,14,2.589033352176368
Apr-2023,AARTISURF.NS,15,-0.3560582259922481
Apr-2023,AARTISURF.NS,16,1.2699246803293045
Apr-2023,AARTISURF.NS,17,-2.1077089038253978
Apr-2023,AARTISURF.NS,18,12.928194993412385
May-2023,AARTISURF.NS,19,-4.09189879120054
May-2023,AARTISURF.NS,20,1.6981132075471626
May-2023,AARTISURF.NS,21,-3.5959438377535027
May-2023,AARTISURF.NS,22,1.6677461139896301
May-2023,AARTISURF.NS,23,-0.8538058799838831
Jun-2023,AARTISURF.NS,23,0.7938436614013734
Jun-2023,AARTISURF.NS,24,-1.1977935382190739
Jun-2023,AARTISURF.NS,25,7.145721389044823
Jun-2023,AARTISURF.NS,26,-7.071244113626
Mar-2023,AARVEEDEN.NS,13,-1.0610079575596967
Mar-2023,AARVEEDEN.NS,14,1.680672268907547
Apr-2023,AARVEEDEN.NS,15,9.024390243902445
Apr-2023,AARVEEDEN.NS,16,-2.1321961620469083
Apr-2023,AARVEEDEN.NS,17,2.4774774774774806
Apr-2023,AARVEEDEN.NS,18,-1.3274336283185872
May-2023,AARVEEDEN.NS,19,-4.444444444444445
May-2023,AARVEEDEN.NS,20,0.0
May-2023,AARVEEDEN.NS,21,-2.102803738317754
May-2023,AARVEEDEN.NS,22,0.7352941176470693
May-2023,AARVEEDEN.NS,23,-2.4390243902439024
Jun-2023,AARVEEDEN.NS,23,4.390243902439018
Jun-2023,AARVEEDEN.NS,24,-0.952380952380949
Jun-2023,AARVEEDEN.NS,25,-1.2048192771084338
Jun-2023,AARVEEDEN.NS,26,0.49751243781093457
Mar-2023,AARVI.NS,13,-0.6247211066488201
Mar-2023,AARVI.NS,14,-4.880294659300182
Apr-2023,AARVI.NS,15,25.727482678983826
Apr-2023,AARVI.NS,16,-1.5425131677953432
Apr-2023,AARVI.NS,17,0.492237788716378
Apr-2023,AARVI.NS,18,-2.117013086989992
May-2023,AARVI.NS,19,-0.5118110236220518
May-2023,AARVI.NS,20,2.3330651649235765
May-2023,AARVI.NS,21,-0.34870205346766137
May-2023,AARVI.NS,22,-0.7803355442840421
May-2023,AARVI.NS,23,-2.392857142857139
Jun-2023,AARVI.NS,23,1.6158648549393966
Jun-2023,AARVI.NS,24,-0.29048656499635245
Jun-2023,AARVI.NS,25,-0.46661880832735514
Jun-2023,AARVI.NS,26,1.8044027426921687
Mar-2023,AAVAS.NS,13,-1.055354675603364
Mar-2023,AAVAS.NS,14,-0.7180719921104592
Apr-2023,AAVAS.NS,15,0.2574318112166745
Apr-2023,AAVAS.NS,16,7.130263275856913
Apr-2023,AAVAS.NS,17,-12.016270582007637
Apr-2023,AAVAS.NS,18,-10.96563011456628
May-2023,AAVAS.NS,19,2.7909802380016404
May-2023,AAVAS.NS,20,-1.062965470548412
May-2023,AAVAS.NS,21,-2.373190310933495
May-2023,AAVAS.NS,22,-1.3730224512595015
May-2023,AAVAS.NS,23,0.5864575088148423
Jun-2023,AAVAS.NS,23,0.23007513391092105
Jun-2023,AAVAS.NS,24,-2.474159974069933
Jun-2023,AAVAS.NS,25,1.2565914955682675
Jun-2023,AAVAS.NS,26,1.6293650215061535
Mar-2023,ABAN.NS,13,-1.098901098901095
Mar-2023,ABAN.NS,14,-2.061855670103101
Apr-2023,ABAN.NS,15,4.661016949152538
Apr-2023,ABAN.NS,16,1.3550135501355014
Apr-2023,ABAN.NS,17,2.595628415300535
Apr-2023,ABAN.NS,18,2.9986962190351982
May-2023,ABAN.NS,19,0.5095541401273957
May-2023,ABAN.NS,20,-3.629536921151446
May-2023,ABAN.NS,21,0.7853403141361182
May-2023,ABAN.NS,22,1.955671447196871
May-2023,ABAN.NS,23,-1.0113780025284413
Jun-2023,ABAN.NS,23,0.5069708491761615
Jun-2023,ABAN.NS,24,1.4705882352941213
Jun-2023,ABAN.NS,25,0.0
Jun-2023,ABAN.NS,26,-3.041362530413625
